iter	Passed	Remaining
0	0	735
1	1	592
2	1	574
3	2	567
4	2	566
5	3	569
6	4	570
7	4	571
8	5	572
9	5	567
10	6	562
11	6	557
12	7	553
13	7	549
14	8	546
15	8	543
16	9	540
17	9	542
18	10	541
19	11	540
20	11	537
21	12	535
22	12	533
23	13	531
24	13	529
25	14	528
26	14	526
27	15	524
28	15	522
29	16	520
30	16	524
31	17	524
32	17	525
33	18	524
34	18	523
35	19	522
36	20	521
37	20	517
38	20	513
39	21	513
40	21	513
41	22	515
42	23	516
43	23	516
44	24	516
45	24	516
46	25	516
47	26	515
48	26	515
49	27	514
50	27	513
51	28	513
52	28	513
53	29	513
54	29	512
55	30	511
56	30	510
57	31	509
58	31	508
59	32	506
60	32	505
61	33	504
62	33	503
63	34	502
64	35	503
65	35	503
66	36	502
67	36	501
68	36	498
69	37	497
70	37	496
71	38	495
72	38	494
73	39	493
74	39	489
75	40	489
76	40	488
77	41	489
78	41	488
79	42	487
80	42	486
81	43	486
82	44	486
83	44	486
84	45	485
85	45	484
86	46	483
87	46	484
88	47	484
89	47	484
90	48	483
91	48	483
92	49	482
93	49	481
94	50	480
95	50	480
96	51	479
97	52	478
98	52	477
99	53	477
100	53	477
101	54	477
102	54	475
103	55	474
104	55	474
105	56	472
106	56	471
107	57	470
108	57	470
109	57	468
110	58	467
111	58	467
112	59	467
113	60	468
114	60	467
115	61	467
116	61	467
117	62	466
118	62	465
119	63	464
120	63	462
121	64	461
122	64	460
123	65	460
124	65	460
125	66	459
126	66	459
127	67	458
128	67	458
129	68	457
130	68	456
131	69	455
132	69	454
133	70	453
134	70	452
135	71	451
136	71	451
137	72	450
138	72	450
139	73	449
140	73	448
141	74	447
142	74	447
143	75	446
144	75	445
145	76	444
146	76	443
147	77	443
148	77	442
149	78	442
150	78	442
151	79	441
152	79	440
153	80	439
154	80	439
155	80	437
156	81	436
157	81	435
158	82	434
159	82	434
160	83	433
161	83	432
162	84	432
163	84	431
164	85	431
165	85	430
166	86	429
167	86	429
168	87	428
169	87	428
170	88	427
171	88	427
172	89	426
173	89	425
174	90	425
175	90	425
176	91	424
177	91	424
178	92	423
179	92	422
180	93	422
181	93	421
182	94	420
183	94	419
184	95	419
185	95	418
186	96	418
187	96	417
188	97	417
189	97	416
190	98	415
191	98	415
192	99	414
193	99	413
194	100	413
195	100	412
196	100	411
197	101	410
198	101	410
199	102	409
200	102	409
201	103	408
202	104	408
203	104	408
204	105	407
205	105	407
206	106	406
207	106	405
208	107	405
209	107	404
210	108	403
211	108	403
212	109	402
213	109	402
214	110	401
215	110	401
216	110	400
217	111	399
218	111	399
219	112	398
220	112	397
221	113	397
222	113	396
223	114	395
224	115	397
225	115	397
226	116	397
227	117	396
228	117	395
229	118	395
230	118	394
231	118	393
232	119	393
233	119	392
234	120	392
235	121	391
236	121	391
237	122	390
238	122	390
239	122	389
240	123	388
241	123	387
242	124	387
243	124	386
244	125	385
245	125	385
246	126	384
247	126	384
248	127	383
249	128	384
250	128	384
251	129	385
252	130	384
253	130	384
254	131	383
255	131	382
256	132	382
257	133	382
258	133	382
259	134	381
260	134	381
261	135	380
262	135	380
263	136	379
264	136	378
265	137	378
266	137	377
267	138	377
268	138	376
269	139	375
270	139	375
271	140	374
272	140	374
273	141	373
274	141	373
275	142	373
276	142	372
277	143	371
278	143	371
279	144	370
280	144	370
281	145	369
282	145	369
283	146	368
284	146	367
285	147	367
286	147	366
287	148	365
288	148	365
289	148	364
290	149	363
291	149	363
292	150	362
293	150	362
294	151	361
295	151	361
296	152	360
297	152	359
298	153	359
299	153	358
300	154	358
301	154	357
302	155	356
303	155	356
304	156	355
305	156	355
306	157	354
307	157	354
308	158	354
309	158	353
310	159	353
311	159	352
312	160	352
313	160	351
314	161	350
315	161	350
316	162	349
317	162	349
318	163	348
319	163	347
320	164	347
321	164	346
322	165	346
323	165	345
324	166	345
325	166	344
326	167	343
327	167	343
328	168	342
329	168	342
330	169	341
331	169	341
332	170	340
333	170	340
334	171	339
335	171	339
336	172	338
337	172	338
338	173	338
339	173	337
340	174	337
341	174	336
342	175	335
343	175	335
344	176	335
345	177	334
346	177	334
347	178	333
348	178	333
349	179	332
350	179	332
351	180	332
352	181	331
353	181	331
354	182	331
355	182	330
356	183	330
357	183	329
358	184	329
359	184	328
360	185	328
361	185	327
362	186	327
363	187	326
364	187	326
365	187	325
366	188	325
367	189	324
368	189	324
369	190	324
370	190	323
371	191	322
372	191	322
373	192	321
374	192	321
375	193	320
376	193	320
377	194	319
378	194	318
379	195	318
380	195	317
381	196	317
382	196	316
383	196	315
384	197	315
385	197	314
386	198	314
387	199	314
388	199	313
389	200	313
390	200	312
391	201	312
392	201	311
393	202	311
394	202	310
395	203	310
396	204	310
397	205	310
398	205	309
399	205	308
400	206	308
401	207	308
402	207	307
403	208	307
404	208	306
405	209	306
406	209	305
407	210	305
408	210	304
409	211	304
410	211	303
411	212	303
412	212	302
413	213	302
414	213	301
415	214	301
416	214	300
417	215	299
418	215	299
419	216	298
420	216	298
421	217	297
422	217	297
423	218	296
424	218	296
425	219	295
426	219	295
427	220	294
428	220	293
429	221	293
